"issue_number","workbook_issue","after_this_pass","live_staging_status","source_status","owner_or_deploy_action"
"1","Test/placeholder products live and indexable","Source fixed, staging pending deploy","Staging currently indexable for blouse QA PDPs","QA/test helper excludes blouse, placeholder, and Rs 1 products from SEO surfaces","Deploy current source; keep QA products usable but noindexed"
"2","No product schema markup","Improved","QA PDPs currently emit Product JSON-LD","QA/test PDPs suppress Product JSON-LD; real products keep Product and Offer","Add Review/AggregateRating only after real review data exists"
"3","No sitemap.xml submitted to Google","Partial","Staging sitemap currently includes QA blouse/test signals","Sitemap source filters through shouldIncludeProductInSeo","Deploy and owner submits sitemap in GSC"
"4","Thin product page content","Partial","Untitled Product found on QA blouse products","Noindex protects affected QA PDPs","CMS content cleanup for real thin products"
"5","No editorial content","Partial","Guide routes exist","No visible content changes","Plan editorial cadence later"
"6","GSC and GA4 not active","Not verified","External account access not used","Analytics wiring found in source","Owner verifies GSC/GA4"
"7","Canonical and pagination SEO","Partial fixed","/collection?type=blouse already noindex","/blouses force noindex; filter routes stay canonicalized","Recheck after deploy"
"8","Title tags not keyword-first","Backlog","Titles exist but not fully rewritten","No title rewrite by contract","Route-by-route copy approval"
"9","No category landing pages","Partial","Fabric/occasion routes exist","Existing keyword landing architecture remains","Expand taxonomy later"
"10","Image alt text","Partial","Generic alt found in QA API image data","No media/copy mutation","Fix media alt in CMS after approval"
"11","FAQ schema","Partial fixed","FAQPage present on FAQ/sell pages","Schema only where visible FAQ exists","Add PDP FAQ only with visible content"
"12","Backlinks","External","Not code-verifiable","No source action","Marketing outreach"
"13","Reviews","Not fixed by design","No real review data verified","No fake reviews/schema added","Build real reviews later"
"14","WhatsApp/contact","Existing covered","Footer/contact tests exist","No contact values printed","Owner verifies post deploy"
"15","Breadcrumb schema","Partial fixed","PDPs emit BreadcrumbList","BreadcrumbList retained even when Product schema suppressed","Extend visible breadcrumbs later"
"16","Meta descriptions","Partial","QA PDP meta currently weak","QA PDPs noindexed after deploy","Content rewrite approval"
"17","Large images/Core Web Vitals","Still blocker","LCP fails local LHCI","Navbar logo AVIF/eager/high hint added","Performance pass remains"
"18","Sell Your Saree page","Existing fixed","Route live on staging","Route in sitemap source","Post-deploy verify"
"19","Local SEO","External","Not code-verifiable","No source action","Owner creates or verifies local profiles"
"20","Unsplash stock images","Evidence only","Unsplash references exist in source","No media replacement by contract","Owner supplies/approves original assets"

